SNO,Input Data,Target Data,Predicted Data
167,nicotin,நிகோடின்,நிகோடின்
168,kandedukkappattadhu,கண்டெடுக்கப்பட்டது,கண்டெடுக்கப்பட்டது
169,kontirukkak,கொண்டிருக்கக்,கொொண்டிருக்கக்
170,perugiyathu,பெருகியது,பெருகியதுு
171,kalviyum,கல்வியும்,கல்வியம்
172,masoothikku,மசூதிக்கு,மசூதிக்கு
173,mugaththuvaaraththil,முகத்துவாரத்தில்,முகத்துவாரத்்தில்
174,saigaigal,சைகைகள்,சைைககள்
175,kaalattai,காலத்தை,கலத்தை
176,inid,எனிட்,எனிட்
177,yeithi,எய்தி,எய்்தி
178,koorappattu,கூறப்பட்டு,கூறப்பட்டு
179,aththiyaayaththil,அத்தியாயத்தில்,அத்தியாயயத்தில்
180,assiriyaraagavum,ஆசிரியராகவும்,ஆசிரியராகவும்
181,manatil,அடி,அி
182,maanikkam,மாணிக்கம்,மாணிக்கம்
183,saralamaaka,சரளமாக,சளமாக
184,kuraindhey,குறைந்தே,குறைநந்தே
185,thokupil,தொகுப்பில்,தொகுப்பில்
186,sankamathill,சங்கமத்தில்,சங்கமத்தில்
187,kattamaikkappadum,கட்டமைக்கப்படும்,கட்டமைக்கப்படும்
188,cheerutaikal,சீருடைகள்,சீருைடகள்
189,maththiya,மத்திய,மத்திய
190,kuuttaaka,கூட்டாக,கூட்டாக
191,anthak,அந்தக்,அந்தக்
192,gopi,கோபி,கபோி
193,mudindthathum,முடிந்ததும்,முிடந்ததும்
194,uanvugalaiyum,உணவுகளையும்,உணவுகளையுும்
195,porundhdha,பொருந்த,பொருந்த
196,seyarpaadugalilum,செயற்பாடுகளிலும்,செயற்பாடுகளிலுமம்
197,sivapragasha,சிவப்பிரகாச,சிவப்பிரகாச
198,aaitha,ஆய்த,ஆ்யத
199,civinki,ஒட்டகச்,ஒட்டகச்
200,aatrtralulla,ஆற்றலுள்ள,ஆற்றலுள்ள
201,maalik,மாலிக்,மாலிக்
202,thunburuthal,துன்புறுத்தல்,துன்புறுத்தல்்
203,prachaaram,பிரசாரம்,பிரசாம்
204,alaippu,அழைப்பு,அஅழைப்பு
205,udalil,உடலில்,உடலலி்
206,mudinthathum,முடிந்ததும்,முடநி்ததும்
207,wadham,வதம்,வம்
208,thamilakam,தமிழகம்,தமிழகம்
209,naveenaththuvam,நவீனத்துவம்,நவீனதத்ுவம்
210,athigappadiyaaga,அதிகப்படியாக,அதிகப்படியாக
211,veesith,வீசித்,வீசி்த
212,ettappadum,எட்டப்படும்,எட்டப்படும்
213,avvakai,அவ்வகை,அவ்வவகை
214,indhukkalukku,இந்துக்களுக்கு,இந்துக்களுகக்கு
215,kuuttankal,கூட்டங்கள்,கட்டங்கள்
216,kaypaesi,கைபேசி,கைபேச
217,pugaaril,புகாரில்,பகாரில்
218,malik,மாலிக்,மாலிக்
219,pukalpettravai,புகழ்பெற்ற,ுகழ்பெற்ற
220,pitikka,மீன்,மனீ்
221,malaiyadivaara,மலையடிவார,மலையயடிவார
222,ower,ஓவர்,ஓவர்்
223,veesuthal,வீசுதல்,வீசுலத்
224,kaalamee,காலமே,காலமேே
225,thuvanggavillai,துவங்கவில்லை,துவங்கவில்லை
226,pulampi,புலம்பி,புலம்பி
227,pudhumaikalai,புதுமைகளை,புதுமைகை
228,kel,கேள்,கேள்
229,sivappirakasa,சிவப்பிரகாச,சவப்பிரகாச
230,machuuthiyin,மசூதியின்,மசூதியின்
231,kadarkaraikku,கடற்கரைக்கு,கடற்கரைக்கு
232,chakkaratthai,சக்கரத்தை,சக்கரத்தை
233,niraivurum,நிறைவுறும்,நிறைவுறும்
234,mathippaaga,மதிப்பாக,மதிப்பாக
235,thambadhiyinarukku,தம்பதியினருக்கு,தம்பதியினருகக்கு
236,ninaivaagavum,நினைவாகவும்,நினைவாகவும
237,seyarpadugalaiyum,செயற்பாடுகளையும்,செயற்பாடுகளையும்
238,arivin,அறிவின்,அறிவின்
239,soottinar,சூட்டினர்,சூட்டினர்
240,pirammanai,பிரம்மனை,பிரமம்மனை
241,vaethangalil,வேதங்களில்,வேதங்களி்ல
242,qyts,கீட்ஸ்,கடீ்ஸ்
243,qyubaa,கியூபா,கியூபா
244,koottatthai,கூட்டத்தை,கூட்டத்தை
245,nadhiyilirunththu,நதியிலிருந்து,நதியிலிருந்து
246,saalukkiyar,சாளுக்கியர்,சாளுகக்கியர்
247,vattiyai,வட்டியை,வட்டியை
248,servur,சர்வர்,சர்வர்
249,odeesee,ஒடிசி,ஒடசிி
250,moondrilirunthu,மூன்றிலிருந்து,ூன்றிலிருந்து
251,poagumboadhu,போகும்போது,போகு்போது
252,nookkil,நோக்கில்,நோோக்கில்
253,chelutthinar,செலுத்தினர்,செலுத்தினர்
254,cargal,கார்கள்,ாகர்கள்
255,pirkaalangalil,பிற்காலங்களில்,பபிற்காலங்களில்
256,nalloor,நல்லோர்,நல்லோர்
257,saaiman,சைமன்,சைமன்
258,tamilagatthilum,தமிழகத்திலும்,தமிழகத்திலு்
259,kalviyodu,கல்வியோடு,கல்ியோடு
260,pesalaam,வாங்க,வாங்க
261,roopavaahini,ரூபவாஹினி,ரூபவஹாினி
262,vimaanangalum,விமானங்களும்,விமானங்களும்
263,iue,யூ,ய
264,visaiyin,விசையின்,விசையின்
265,kolunthu,கொழுந்து,கொழுந்து
266,siriap,சிரியப்,சிரியப்
267,maravallilk,மரவள்ளிக்,மரவள்ளிக்
268,nunmai,நுண்மை,நுண்மைை
269,surrullaap,சுற்றுலாப்,சுற்றுலலாப்
270,quantumm,குவாண்டம்,கவாண்டம்
271,kirupai,கிருபை,கிருபை
272,qaimioo,கேமியோ,கேமியோ
273,latchaththirkum,இலட்சத்திற்கும்,இல்சத்திற்கும்
274,theepak,தீபக்,தீபக்
275,nerital,நேரிட்டால்,நேரிட்டால்
276,thuulaith,தூளைத்,தூளளைத்
277,theermaaniththanar,தீர்மானித்தனர்,தீர்மானித்தனர்
278,koolp,கோல்ப்,கோ்ப்
279,uppukalum,உப்புகளும்,உப்ுபகளும்
280,pizhai,பிழை,பிழை
281,thodarbugalaiyum,தொடர்புகளையும்,தொடர்புகளையும்
282,oppanthaththirku,ஒப்பந்தத்திற்கு,ஒப்பந்தத்திற்கு
283,choazhapuram,சோழபுரம்,ோசழபுரம்
284,vazhigaattu,வழிகாட்டு,வழிாட்டு
285,thalaynakaram,தலைநகரம்,தலைநகரம்
286,nigazhthagavu,நிகழ்தகவு,நிிகழ்தகவு
287,aatralaal,ஆற்றலால்,றஆ்றலால்
288,chikkanamaana,சிக்கனமான,சிக்ககனமான
289,kulatthirku,குளத்திற்கு,குளத்திற்கு
290,iuee,யூ,யூ
291,varuvaayth,வருவாய்த்,வருவாய்த்
292,valakkugalukku,வழக்குகளுக்கு,வழக்குகளுக்கு
293,thunpuruththal,துன்புறுத்தல்,துன்புறுத்தல்
294,uree,யூரி,யூரி
295,sastri,சாஸ்திரி,சாஸ்திிர
296,thaer,தேர்,தேர்்
297,choudhri,சௌத்ரி,சௌத்ரி
298,veechuthal,வீசுதல்,வீசுதல்
299,kemioo,கேமியோ,கேமியோ
300,appaatal,அப்பாடல்,அபப்ாடல்
301,roawer,ரோவர்,ரோவர்
302,thalaivanum,தலைவனும்,தலைவனும்
303,athilum,அதிலும்,அதிலும்
304,thoguththa,தொகுத்த,தகுத்த
305,raand,ரேண்ட்,ரேண்ட்
306,poruppaettrathu,பொறுப்பேற்றது,பொறுப்பேற்றது
307,adiyilirundhu,அடியிலிருந்து,அடியிலருந்து
308,panimanai,பணிமனை,பணிமனனை
309,ilatchiyaththirkum,இலட்சத்திற்கும்,இலட்சத்திற்கும்
310,thirumangaiyaalvaar,திருமங்கையாழ்வார்,திருமங்கையாழ்வார்
311,thira,திற,ிற
312,nirvaakaththilum,நிர்வாகத்திலும்,நிர்வகாத்திலும்
313,siddharth,சித்தார்த்,சித்தார்த்
314,kanidham,கணிதம்,கணிதம்
315,idippu,இடிப்பு,இடிப்பு
316,koolgalai,கோல்களை,கோல்களை
317,adakki,அடக்கி,அடககி
318,tholilin,தொழிலின்,தொழிலின்
319,sakkaraththai,சக்கரத்தை,சக்கரத்தை
320,noyta,நொய்டா,நொய்டா
321,chankankalai,சங்கங்களை,சங்கங்களை
322,dai,டை,டைை
323,paniyilirindhu,பணியிலிருந்து,பணியிலிருந்து
324,vendum,கிடைக்க,கிடைக்க
325,graind,கிராண்ட்,கிரா்ட்
326,nikazhvum,நிகழ்வும்,நிகழ்வும்
327,therkkilirundhu,தெற்கிலிருந்து,தெற்கிலிுந்து
328,tamilagaththilum,தமிழகத்திலும்,தமிழகத்திலும்
329,kaapoolil,காபூலில்,காபூலி்
330,andriravu,அன்றிரவு,அன்றிரவு
331,chakkarattin,சக்கரத்தின்,சக்கரத்தின்
332,thaniththuvamaana,தனித்துவமான,தனித்துவமான
333,aadaa,அடா,அஅடா
334,scotch,ஸ்காட்ச்,ஸ்காட்ச்
335,polath,போலத்,போலத்
336,unarvaaka,உணர்வாக,உணர்வாக
337,pirgaalaththu,பிற்காலத்து,பிற்கலாத்து
338,thekka,தேக்க,தேக்க
339,padappidippu,படப்பிடிப்பு,படப்பிடிப்பபு
340,periyadhum,பெரியதும்,பெரியதும்
341,aekapoakam,ஏகபோகம்,ஏகபபோகம்
342,kaidhiyaaka,கைதியாக,கைதியயாக
343,innisai,இன்னிசை,இன்னிசை
344,aayvukkatturai,ஆய்வுக்கட்டுரை,ஆய்வுக்கட்டுரை
345,oadhi,ஓதி,ஓத
346,nirvaaka,நிர்வாக,நிர்வாக
347,tamizhakatthilum,தமிழகத்திலும்,தமிழகத்திலும்
348,kaithigalin,கைதிகளின்,ககைதிகளின்
349,vorangal,ஓரங்கள்,ஓரங்கள்
350,magizhunthu,மகிழுந்து,மகிழுந்து
351,jappaanin,ஜப்பானின்,ஜப்பானின
352,thandanaikal,தண்டனைகள்,தண்டனைகள்
353,sipper,செய்பவர்,செய்பவர்
354,unththum,உந்தும்,உந்தும்
355,vaedhaththai,வேதத்தை,வேதத்தை
356,patutthiyathu,படுத்தியது,படுத்திியது
357,setis,சதீஷ்,சீதஷ்
358,cakkarattai,சக்கரத்தை,சக்கர்ததை
359,raamaa,ராமா,ராமா
360,sailaja,சைலஜா,சைலஜா
361,riisii,ரிஷி,ரிஷி
362,ahmadabadil,அகமதாபாத்தில்,அகமதாபாத்தி்
363,rupavahini,ரூபவாஹினி,ரூபவஹினி
364,matrtravarkalitam,மற்றவர்களிடம்,மற்றவர்களிடம்
365,soazhapuram,சோழபுரம்,சோழழபுரம்
366,reend,ரேண்ட்,ரேண்ட்
367,morocco,மொராக்கோ,மொராக்கோ
368,mauhammad,முஹம்மத்,முஹமம்மத்
369,moolakkoorugal,மூலக்கூறுகள்,மூலக்கூறகுள்
370,binvaangkinaar,பின்வாங்கினார்,பின்வாங்கினார்
371,kaalakattaththilum,காலகட்டத்திலும்,ாலகட்டத்திலும்
372,zain,ஜென்,ஜெனன்
373,unavuch,உணவுச்,உணவுச்
374,nookkiyee,நோக்கியே,நோக்கிய
375,laagic,லாஜிக்,லாஜிக்
376,koppaikkaana,கோப்பைக்கான,கோப்ைக்கான
377,parikka,பறிக்க,பறக்க
378,puriginaranar,புரிகின்றனர்,புரிகின்றனர்
379,boraun,போரான்,போாரன்
380,saasana,சாசன,சாசசன
381,eesanin,ஈசனின்,ஈசனின்
382,vitayaththai,விடயத்தை,விடத்தை
383,mukamaaka,முகமாக,முகமாக
384,palagaikal,பலகைகள்,பலககைகள்
385,cooimbaatoore,கோவை,கோவைை
386,avathaar,அவதார்,அவதார்
387,coly,கோலி,ோகலி
388,pudhuvaiyil,புதுவையில்,புதுவையில்
389,aetrtrukkondanar,ஏற்றுக்கொண்டனர்,ஏற்றுக்கொண்்டனர்
390,kitanta,கிடந்த,கிிடந்த
391,thambathigalukku,தம்பதிகளுக்கு,தம்பதிகளுக்கு
392,rishigal,ரிஷிகள்,ரிஷிகள்
393,marukkappattu,மறுக்கப்பட்டு,மறுக்கப்பட்டு
394,aappirikkavilum,ஆப்பிரிக்காவிலும்,ஆப்பிரிக்்காவிலும்
395,padimangazhai,படிமங்களை,படிமங்கள
396,oththulaiyaamai,ஒத்துழையாமை,ஒத்துழையாமை
397,kootpaatukalai,கோட்பாடுகளை,கோட்பாடகுளை
398,sasthri,சாஸ்திரி,சாஸ்திரி
399,sittu,சிட்டு,சிட்டு
400,titaniuumm,டைட்டானியம்,டை்டானியம்
401,thomas,தோமஸ்,ததோமஸ்
402,vaakanamaka,வாகனமாக,வாகனனமாக
403,ippaathaiyil,இப்பாதையில்,இப்பாதையில்
404,mickei,மிக்கி,மிக்ிக
405,thokaiyanathu,தொகையானது,தொகையானது
406,cakkarattin,சக்கரத்தின்,சக்கரத்தின
407,aayvukalaiyum,ஆய்வுகளையும்,ஆய்வுகளையும்
408,alavaal,அளவால்,அளவால்
409,thogaiyee,தொகையே,தொகையயே
410,saerththum,சேர்த்தும்,சேர்த்்தும்
411,garg,கார்க்,கார்்க்
412,vibaththil,விபத்தில்,விபதத்தில்
413,baeebeel,பாபேல்,பாபேல
414,zepelin,செப்பெலின்,செப்பெலின்
415,kaluthai,கழுதை,குழதை
416,unescovin,யுனெஸ்கோவின்,யுனெஸ்கோவின்
417,daeevid,டேவிட்,டேவிட்
418,betles,பீட்டில்ஸ்,பீட்டில்ஸ்
419,nulainthapoathu,நுழைந்தபோது,நுழைந்தபது
420,kadumaiyaanadhu,கடுமையானது,கடுமயானது
421,anima,ஆன்மா,ஆனம்ா
422,paandavargalil,பாண்டவர்களில்,பாண்டவர்களிில்
423,gallon,கேலன்,கலேன்
424,karloos,கார்லோஸ்,கார்லோஸ்
425,moolzhgadikkappatta,மூழ்கடிக்கப்பட்ட,மூழ்கடிக்கப்பட்ட
426,tuurbo,டர்போ,டர்போ
427,cholvathenraal,சொல்வதென்றால்,சொல்வதென்றால்
428,alavugalum,அளவுகளும்,அளவுகளும்
429,cankangal,சங்கங்கள்,சங்கங்கள்
430,kannaottaththil,கண்ணோட்டத்தில்,கண்ணோட்டத்தில்
431,viladimir,விளாடிமிர்,விளாடிமிர்
432,aatrtru,ஆற்று,ஆஆற்று
433,jener,ஜென்னர்,ஜென்னனர்
434,skaatlaandhin,ஸ்காட்லாந்தின்,ஸ்காட்லாந்திின்
435,kuuttangalaiyum,கூட்டங்களையும்,கூட்டங்களையும்்
436,patimatthin,படிமத்தின்,படமித்தின்
437,vaey,வேய்,வேய்
438,zaapan,ஜப்பான்,ஜப்பான்
439,haidroa,ஹைட்ரோ,ஹட்ரோ
440,rendaam,ரேண்டம்,ரேண்டம்
441,aasiramam,ஆசிரமம்,ஆசிரம்ம
442,pandavargalukkum,பாண்டவர்களுக்கும்,பாண்டவர்களுக்கும்
443,uruvaakkal,உருவாக்கல்,உருவாக்கல்
444,ethirkka,எதிர்க்க,எதிர்க்க
445,americavil,அமெரிக்காவில்,அமெரரிக்காவில்
446,taai,டை,டை
447,meengalaiyum,மீன்களையும்,மீன்களையும்
448,kettar,கேட்டார்,கேட்டார்
449,aadukalil,ஆடுகளில்,ஆடுகளில்
450,beetles,பீட்டில்ஸ்,பீட்டில்ஸ்
451,segarippu,சேகரிப்பு,சேகரிப்பு
452,kooppaiyil,கோப்பையில்,கோப்பையில்
453,udalaik,உடலைக்,உடலைக்
454,virumbaatha,விரும்பாத,விரும்பாத
455,kirishthavarkalin,கிறித்தவர்களின்,கிறித்தவர்களி்ன
456,aththiyaayangalai,அத்தியாயங்களை,அத்தியாயங்களை
457,committeeyin,கமிட்டியின்,கமிட்டிின்
458,payanpaduththavillai,பயன்படுத்தவில்லை,பயன்படுத்தவில்லை
459,panguthaarargalin,பங்குதாரர்களின்,பங்குதாரர்களின்
460,paiq,பேக்,பேகக்
461,vaasippathil,வாசிப்பதில்,வாசிப்பதில்
462,seedhakkadhi,சீதக்காதி,சீதக்காதி
463,karanamaakaththaan,காரணமாகத்தான்,காணமாகத்தான்
464,akamatapat,அகமதாபாத்,அகமதாபபாத்
465,kaaranamaagum,காரணமாகும்,காரணமாகுமம்
466,azhakiyaana,அழகியான,அழகியான
467,miqey,மிக்கி,மிக்கி
468,thondriyathaal,தோன்றியதால்,தோன்றியதால்
469,kork,கார்க்,கார்க்
470,adhavadhu,அதாவது,அதாவது
471,oothi,ஓதி,ஓதி
472,vadapuram,வடபுறம்,வடபுறம
473,emile,எமிலி,எமிில
474,tamizhagatthu,தமிழகத்து,தமிழகத்து
475,kaidhigalai,கைதிகளை,கைதிகளை
476,magaalatchumi,மகாலட்சுமி,மகாலட்சுமமி
477,kunamaa,குணமா,குணமா
478,thyaagaraja,தியாகராஜ,தியாகராஜ
479,nanjil,நாஞ்சில்,நாஞ்ிசல்
480,poatti,போட்டி,போட்டி
481,naveenam,நவீனம்,நீவனம்
482,kovalan,கோவலன்,கோவலன்்
483,varigal,வரிகள்,வரிிகள்
484,sangak,சங்கக்,ஙச்கக்
485,qarachii,கராச்சி,கராச்சி
486,yaaridamum,யாரிடமும்,யாரிடமும்
487,parappazhavai,பரப்பளவை,பரப்பளவை
488,samanaana,சமனான,சமனான
489,appaguthikalil,அப்பகுதிகளில்,அப்பகுதிகளில்
490,vaanuurti,உலங்கு,உலங்ுக
491,muraimaiyai,முறைமையை,முறைமையை
492,dhurkkai,துர்க்கை,துர்க்கை
493,dhonii,டோனி,டோனி
494,idiththu,இடித்து,இடித்து
495,aathmaa,ஆத்மா,ஆத்மா
496,vaelaiyil,வேலையில்,வலையில்
497,kaettadhum,கேட்டதும்,கேட்டதும்
498,pozhudhupoakkaaga,பொழுதுபோக்காக,பொழுதுபோக்காக
499,balaththa,பலத்த,பலத்த
500,saanthappaduthum,சாந்தப்படுத்தும்,சாந்தப்படுத்தும்
501,thoortharshan,தூர்தர்ஷன்,தூர்தர்ஷன்
502,thozhilil,தொழிலில்,தொழிலல்
503,kanaththil,கணத்தில்,கணத்தில்
504,bolla,போலா,பலா
505,variyil,வரியில்,வரியி்
506,cankai,சங்கை,சங்கை
507,ayirai,அயிரை,அயயிரை
508,goold,கோல்ட்,கோல்ட்
509,kezh,கேள்,கேள்
510,texas,டெக்சாஸ்,டெக்சாஸ்
511,seyalaatra,செயலாற்ற,செயலாற்ற
512,seiyyappattadhaaga,செய்யப்பட்டதாக,செய்யப்பட்டதாக
513,oppandhap,ஒப்பந்தப்,ஒப்பந்தப
514,pai,பை,பபை
515,sarvarukku,சர்வருக்கு,சர்வருக்கு
516,eniid,எனிட்,எனிிட்
517,nallaar,நல்லார்,நல்லரா்
518,sakthi,ஓம்,ஓம்்
519,dhaasan,தாசன்,தாசன்
520,jean,ஜேன்,ஜேன்
521,veruththa,வெறுத்த,ெவறுத்த
522,karanamaakave,காரணமாகவே,காரணமாவகே
523,pirandhadhaal,பிறந்ததால்,பிறந்தததால்
524,chakkarangalai,சக்கரங்களை,சக்கரங்களை
525,alazhaginai,அழகினை,அழகினை
